name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1514527,989816,524711,1525496,996582,528914
Брянская область,1152505,802376,350129,1158570,806008,352562
Владимирская область,1325510,1029181,296329,1333872,1035423,298449
Воронежская область,2285282,1565753,719529,2293949,1571626,722323
Ивановская область,914725,750725,164000,919420,754039,165381
Калужская область,1070853,801577,269276,1072053,803448,268605
Костромская область,571900,423745,148155,574948,425146,149802
Курская область,1067034,730769,336265,1072595,734481,338114
Липецкая область,1126263,709363,416900,1132202,713456,418746
Московская область,8591736,6726786,1864950,8566996,6715009,1851987
Орловская область,700276,466466,233810,705150,469891,235259
Рязанская область,1088918,777235,311683,1093748,780616,313132
Смоленская область,873041,634366,238675,879971,639318,240653
Тамбовская область,966250,583260,382990,972711,586454,386257
Тверская область,1211183,924628,286555,1218611,930317,288294
Тульская область,1481471,1083878,397593,1489080,1090487,398593
Ярославская область,1194605,967526,227079,1200121,972462,227659
г. Москва,13104177,13104177,0,13059651,13059651,0
Республика Карелия,527880,420887,106993,530132,421853,108279
Республика Коми,726434,564359,162075,730399,566906,163493
Архангельская область ,1005687,781444,224243,1010859,784247,226612
Ненецкий автономный округ,41383,30832,10551,41405,30785,10620
Архангельская область без Ненецкого автономного округа,964304,750612,213692,969454,753462,215992
Вологодская область,1128782,818635,310147,1133603,821808,311795
Калининградская область,1032343,790930,241413,1031661,791145,240516
Ленинградская область,2023767,1357252,666515,2014894,1352085,662809
Мурманская область,658698,612858,45840,661969,616034,45935
Новгородская область,575926,421125,154801,578752,422954,155798
Псковская область,587786,416590,171196,592342,419903,172439
г.Санкт-Петербург ,5600044,5600044,0,5603980,5603980,0
Республика Адыгея,497985,243944,254041,498135,245190,252945
Республика Калмыкия,264483,124270,140213,265458,124458,141000
Республика Крым,1916805,963958,952847,1923948,969095,954853
Краснодарский край,5819345,3324820,2494525,5825693,3323569,2502124
Астраханская область,950557,608953,341604,954164,612355,341809
Волгоградская область,2470057,1916300,553757,2481432,1923765,557667
Ростовская область,4164547,2820735,1343812,4178435,2833084,1345351
г. Севастополь,558273,516391,41882,552863,510839,42024
Республика Дагестан,3209781,1450491,1759290,3198342,1445877,1752465
Республика Ингушетия,519078,284653,234425,515197,282472,232725
Кабардино-Балкарская Республика,903266,467644,435622,903802,468544,435258
Карачаево-Черкесская Республика,468444,193802,274642,468770,193859,274911
Республика Северная Осетия-Алания,680748,430138,250610,683071,431685,251386
Чеченская Республика,1533209,584739,948470,1523906,581260,942646
Ставропольский край,2891204,1753824,1137380,2896829,1756227,1140602
Республика Башкортостан,4077600,2542369,1535231,4084610,2540848,1543762
Республика Марий Эл ,672321,462660,209661,674336,463021,211315
Республика Мордовия,771373,490388,280985,776407,493055,283352
Республика Татарстан,4001625,3071356,930269,4000854,3071135,929719
Удмуртская Республика,1442251,948447,493804,1445599,950309,495290
Чувашская Республика,1173177,754451,418726,1178543,756257,422286
Пермский край,2508352,1898277,610075,2516751,1904517,612234
Кировская область,1138112,891429,246683,1143644,893541,250103
Нижегородская область,3081817,2465535,616282,3095367,2475399,619968
Оренбургская область,1841377,1102225,739152,1848579,1105477,743102
Пензенская область,1246609,857559,389050,1253856,862276,391580
Самарская область,3142683,2498659,644024,3153533,2508613,644920
Саратовская область,2404944,1846905,558039,2417978,1854563,563415
Ульяновская область,1181006,909086,271920,1186333,911896,274437
Курганская область,761586,489010,272576,766959,491621,275338
Свердловская область,4239161,3639118,600043,4251426,3648823,602603
Тюменская область ,3851234,3118663,732571,3839456,3106292,733164
Ханты-Мансийский автономный округ-Югра,1730353,1595766,134587,1722058,1586864,135194
Ямало-Ненецкий автономный округ,512387,434071,78316,511815,433540,78275
Тюменская область без автономных округов,1608494,1088826,519668,1605583,1085888,519695
Челябинская область,3407145,2814147,592998,3414351,2820444,593907
Республика Алтай,210769,64957,145812,210789,65160,145629
Республика Тыва,337271,186501,150770,336761,185408,151353
Республика Хакасия,530233,364045,166188,531611,364530,167081
Алтайский край,2130950,1242728,888222,2142941,1248843,894098
Красноярский край ,2845545,2264708,580837,2850935,2266588,584347
Иркутская область,2344360,1817199,527161,2353904,1825857,528047
Кемеровская область,2568238,2222194,346044,2580125,2232496,347629
Новосибирская область,2794266,2227777,566489,2795879,2228441,567438
Омская область,1832064,1349162,482902,1841800,1355320,486480
Томская область,1052106,750000,302106,1057416,754451,302965
Республика Бурятия,974628,576015,398613,976290,577289,399001
Республика Саха (Якутия),997565,670281,327284,997699,669353,328346
Забайкальский край,992429,689961,302468,996474,691416,305058
Камчатский край,288730,225106,63624,290652,226567,64085
Приморский край,1820076,1427371,392705,1831019,1436378,394641
Хабаровский край,1284090,1072186,211904,1288427,1075502,212925
Амурская область,756198,517053,239145,759884,518775,241109
Магаданская область,134315,129615,4700,135111,130301,4810
Сахалинская область,460535,380533,80002,463272,382455,80817
Еврейская автономная область,147458,104427,43031,148519,105152,43367
Чукотский автономный округ,47840,33047,14793,47873,33003,14870
